Pesticide,Crops_Used_On,Human_Health_Effects,Reason_for_Health_Impact,,
"2,4-D","Pulses, Cereals, Sorghum, Fallow land (broadleaf weed control)","Skin irritation, eye irritation, nausea, dizziness",Phenoxy herbicide - disrupts plant growth hormones; in humans can cause irritation and high-dose neurotoxicity,,
Acephate,"Cotton, Rice, Vegetables","Headache, dizziness, nausea, cholinergic symptoms",Organophosphate - inhibits acetylcholinesterase causing nervous system overstimulation,,
Alphamethrin,"Cotton, Vegetables, Tea","Skin irritation, paresthesia, headache",Pyrethroid - affects sodium channels in nerve cells leading to neuroexcitation,,
Aluminium Phosphide,"Stored cereals (wheat, paddy), Pulses (fumigant)","Severe respiratory distress, cardiac arrhythmia, multi-organ failure",Releases phosphine gas on contact with moisture which inhibits cellular respiration,,
Atrazine,Maize,"Potential endocrine disruption, liver effects",Triazine herbicide - endocrine disruption and mitochondrial effects at high exposures,, captan & Captafol
Captan,"Chilli, Apple, Grapes, Other fruits","Skin irritation, possible reproductive/toxic effects",Fungicides that can act as irritants and have metabolites with toxic profiles,,
Chlorpyriphos,"Rice, Sugarcane, Cotton","Headache, nausea, neurodevelopmental effects in children",Organophosphate - inhibits acetylcholinesterase leading to nervous system dysfunction,,
Cypermethrin,"Cotton, Brinjal, Vegetables","Skin irritation, dizziness, tremors",Pyrethroid - sodium channel modulator causing neurotoxic symptoms at high exposure,,
DDT,"cotton, peanuts, soybeans","Possible carcinogenicity, reproductive effects, neurotoxicity","Organochlorine - persistent, bioaccumulative; disrupts endocrine and nervous systems",,
DDVP (Dichlorvos),"Stored grain protection, limited field uses","Acute cholinergic symptoms, headache, nausea",Organophosphate - acetylcholinesterase inhibitor causing nervous system overstimulation,,
Deltamethrin,"Cotton, Rice, Vegetables","Skin irritation, dizziness, paresthesia",Pyrethroid - affects nerve sodium channels producing neuro-excitatory effects,,
Dicofol,"Cotton, Tea (acaricide)","Skin irritation, possible endocrine effects",Organochlorine-related acaricide - can affect nervous/endocrine systems in high exposure,,
Dimethoate,"Pearl millet, Cotton, Vegetables","Cholinergic symptoms, headache, nausea",Organophosphate - acetylcholinesterase inhibition,,
Diuron,"Cotton, Sugarcane (weed control)","Skin irritation, eye irritation, potential kidney/liver effects chronic",Substituted urea herbicide - can cause oxidative stress and organ toxicity at high exposures,,
Ethion,"Tea, Cotton (occasional)","Headache, nausea, cholinergic symptoms",Organophosphate - cholinesterase inhibition,,
Ethofumesate,"Sugarbeet, Ryegrass (limited use in India)","Skin irritation, possible liver effects",Herbicide interfering with plant metabolic enzymes; human toxicity limited but possible,,
Fenvalerate,"Cotton, Vegetables","Skin irritation, dizziness, tremor",Pyrethroid - neurotoxic via sodium channel modulation,,
Glyphosate,"Non-selective herbicide orchards, fallow land, weed control in many crops","Eye/skin irritation, possible association with cancer (IARC classified as probable carcinogen)",Inhibits EPSP synthase in plants; may cause oxidative stress and other effects in humans at high exposure,,
Hexaconazole,"Rice, Banana, Tea, other fruits (fungicide)","Skin irritation, possible liver effects",Triazole fungicide - inhibits ergosterol biosynthesis; can affect mammalian liver enzymes,,
Imidachloroprid,"Cotton, Rice, Vegetables (seed treatment/foliar)","Neurotoxicity, nausea, possible developmental effects",Neonicotinoid - acts on nicotinic acetylcholine receptors leading to neural effects in insects and potential impacts in mammals at high doses,,
Lambda Cyhalothrin,"Cotton, Vegetables, Rice","Skin irritation, paresthesia, dizziness",Pyrethroid - sodium channel modulator causing neuro-excitatory symptoms,,
Malathion,"Rice, Cotton, Vegetables","Respiratory discomfort, headache, muscle weakness",Organophosphate - cholinesterase inhibition (less persistent than some OPs),,
Mancozeb,"Tomato, Potato, Grapes (fungal control)","Skin allergy, possible endocrine/thyroid effects on chronic exposure",Dithiocarbamate fungicide - metabolite ethylenethiourea implicated in thyroid and reproductive toxicity,,
Metconazole,"Wheat, Rice, Other cereals (fungicide)","Skin irritation, possible liver enzyme changes",Triazole fungicide - inhibits sterol biosynthesis affecting mammalian liver enzymes at high doses,,
Metribuzin,"Potato, Sugarcane (herbicide)","Skin/eye irritation, potential renal effects chronic",Triazinone herbicide - may cause oxidative stress and organ effects in high exposures,,
Monocrotophos,Cotton (sap-sucking pests),"Severe cholinergic poisoning, neurotoxicity, fatalities reported",Organophosphate - highly toxic acetylcholinesterase inhibitor,,
Pendimethalin,"Wheat, Rice (pre-emergence weed control)","Skin irritation, possible reproductive effects in high exposure studies",Dinitroaniline herbicide - disrupts microtubule formation; may have developmental toxicity in animals,,
Permethrin,"Cotton, Vegetables (insect control)","Skin irritation, paresthesia, dizziness",Pyrethroid - acts on sodium channels causing neuro-excitation,,
Phenthoate,"Sorghum, Rice, Groundnut (insect control)","Cholinergic symptoms, nausea, dizziness",Organophosphate - cholinesterase inhibition,,
Pretilachlor,Transplanted Rice (early post-emergence weed control),"Skin irritation, eye irritation, gastrointestinal upset at acute exposure",Chloroacetamide herbicide - interferes with lipid/auxin metabolism in plants; limited human toxicity data,,
Profenofos,"Cotton, Rice (insect control)","Headache, nausea, cholinergic-like symptoms",Organophosphate - inhibits acetylcholinesterase,,
Quinalphos,"Rice, Cotton (insect control)","Cholinergic symptoms, headache, nausea",Organophosphate - acetylcholinesterase inhibition,,
Temephos,Public health (mosquito larvicide),Low acute toxicity to humans at recommended concentrations; irritation possible,Organophosphate larvicide - inhibits acetylcholinesterase; formulated for water treatment at low concentrations,,
Thiamethoxam,"Rice, Cotton (seed treatment and foliar)","Potential neurodevelopmental effects, nausea",Neonicotinoid - agonist at nicotinic acetylcholine receptors; concerns for developmental neurotoxicity at high exposure,,
Triclopyr acid,"Non-crop woody weeds, forestry, fallow land (limited crop use)","Skin irritation,eye irritation, gastrointestinal upset",Phenoxy-like herbicide - synthetic auxin analog; human toxicity primarily irritation,,
Zinc phosphide,"Field rodent control in cereals (wheat, paddy)","Severe gastrointestinal distress, respiratory failure, cardiac effects",Reacts with stomach acid to produce phosphine gas which inhibits cellular respiration,,
Ziram,"Grapes, Other fruits (fungicide)","Skin irritation, possible endocrine/thyroid effects",Dithiocarbamate fungicide - metabolites may affect thyroid and act as irritants,,
